data,produto_id,nome_produto_x,categoria_x,quantidade_vendida,preco_unitario,ds,yhat,nome_produto_y,categoria_y
2024-05-11,prod_013,Perfume,Cosméticos,50,21.84,2024-11-30,1678.9102613361465,Manteiga,Frios e Laticínios
2024-09-30,prod_007,Desinfetante,Limpeza,21,41.66,2024-11-30,1527.638736889167,Limpa Vidros,Limpeza
2024-10-15,prod_019,Papel Filme,Diversos,79,30.87,2024-11-30,1489.0666020246524,Esmalte,Cosméticos
2024-06-30,prod_019,Papel Filme,Diversos,21,30.87,2024-11-30,1489.0666020246524,Esmalte,Cosméticos
2024-06-25,prod_016,Manteiga,Frios e Laticínios,18,10.68,2024-11-30,1602.8620517841862,Croissant,Padaria
2024-05-28,prod_011,Peixe Congelado,Congelados,61,23.12,2024-11-30,1433.2102699303432,Sabonete,Higiene
2024-08-15,prod_028,Azeite de Oliva,Alimentação,75,6.99,2024-11-30,1497.0754394272983,Linguiça,Carnes
2024-07-21,prod_021,Condicionador,Higiene,47,31.54,2024-11-30,1383.926075406138,Hambúrguer Congelado,Congelados
2024-09-13,prod_041,Amaciante,Limpeza,45,27.1,2024-11-30,1591.5433289430614,Fósforo,Diversos
2024-09-23,prod_047,Frango,Carnes,47,34.68,2024-11-30,1297.9309525244728,Torta de Frango,Padaria
2024-07-09,prod_038,Guardanapos,Diversos,85,35.43,2024-11-30,1533.8171808066024,Vinho Tinto,Bebidas
2024-09-10,prod_002,Desodorante,Higiene,13,10.5,2024-11-30,1559.326432389065,Desinfetante,Limpeza
2024-07-28,prod_027,Hambúrguer Congelado,Congelados,77,42.77,2024-11-30,1325.1091744191249,Fio Dental,Higiene
2024-08-14,prod_029,Condicionador,Higiene,36,11.87,2024-11-30,1537.287760979408,Carvão para Churrasco,Diversos
2024-09-21,prod_009,Presunto,Frios e Laticínios,18,12.19,2024-11-30,1424.3250507345297,Arroz,Alimentação
2024-08-24,prod_042,Farinha de Trigo,Alimentação,31,7.48,2024-11-30,1492.7891262132096,Açúcar,Alimentação
2024-04-28,prod_034,Cerveja,Bebidas,33,46.47,2024-11-30,1640.183255056216,Papel Filme,Diversos
2024-07-08,prod_036,Creme Dental,Higiene,89,32.87,2024-11-30,1667.2522033960106,Sabonete Líquido,Higiene
2024-05-19,prod_003,Sabão em Pó,Limpeza,2,5.08,2024-11-30,1582.6254847891569,Manteiga,Frios e Laticínios
2024-10-09,prod_050,Desodorante,Higiene,82,25.41,2024-11-30,1350.7101483318484,Farinha de Trigo,Alimentação
2024-06-07,prod_016,Manteiga,Frios e Laticínios,68,10.68,2024-11-30,1602.8620517841862,Croissant,Padaria
2024-05-04,prod_038,Guardanapos,Diversos,91,35.43,2024-11-30,1533.8171808066024,Vinho Tinto,Bebidas
2024-08-07,prod_045,Biscoito,Padaria,34,23.74,2024-11-30,1569.600782792661,Desinfetante,Limpeza
2024-08-19,prod_031,Requeijão,Frios e Laticínios,72,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-10-09,prod_038,Guardanapos,Diversos,38,35.43,2024-11-30,1533.8171808066024,Vinho Tinto,Bebidas
2024-08-01,prod_050,Desodorante,Higiene,75,25.41,2024-11-30,1350.7101483318484,Farinha de Trigo,Alimentação
2024-08-16,prod_007,Desinfetante,Limpeza,72,41.66,2024-11-30,1527.638736889167,Limpa Vidros,Limpeza
2024-09-22,prod_045,Biscoito,Padaria,20,23.74,2024-11-30,1569.600782792661,Desinfetante,Limpeza
2024-09-25,prod_045,Biscoito,Padaria,84,23.74,2024-11-30,1569.600782792661,Desinfetante,Limpeza
2024-05-10,prod_035,Loção Hidratante,Cosméticos,1,26.21,2024-11-30,1423.97693029008,Lâmpada,Diversos
2024-10-09,prod_010,Costela,Carnes,54,10.39,2024-11-30,1344.1082865451142,Bife de Alcatra,Carnes
2024-08-05,prod_011,Peixe Congelado,Congelados,5,23.12,2024-11-30,1433.2102699303432,Sabonete,Higiene
2024-05-30,prod_028,Azeite de Oliva,Alimentação,50,6.99,2024-11-30,1497.0754394272983,Linguiça,Carnes
2024-07-02,prod_037,Fio Dental,Higiene,9,13.07,2024-11-30,1496.8549106221392,Presunto,Frios e Laticínios
2024-08-20,prod_022,Condicionador,Higiene,41,36.86,2024-11-30,1538.169528954254,Feijão,Alimentação
2024-08-27,prod_011,Peixe Congelado,Congelados,50,23.12,2024-11-30,1433.2102699303432,Sabonete,Higiene
2024-07-19,prod_018,Presunto,Frios e Laticínios,74,47.02,2024-11-30,1466.0407218898556,Macarrão,Alimentação
2024-06-16,prod_032,Água Mineral,Bebidas,27,11.12,2024-11-30,1530.6287463301446,Pão Francês,Padaria
2024-07-18,prod_049,Linguiça,Carnes,96,14.19,2024-11-30,1571.4364900452802,Energético,Bebidas
2024-07-28,prod_041,Amaciante,Limpeza,20,27.1,2024-11-30,1591.5433289430614,Fósforo,Diversos
2024-07-30,prod_014,Pilhas,Diversos,25,27.52,2024-11-30,1366.6256205078312,Base,Cosméticos
2024-05-10,prod_020,Farinha de Trigo,Alimentação,13,5.56,2024-11-30,1491.4639314415322,Sorvete,Congelados
2024-07-03,prod_006,Água Mineral,Bebidas,40,33.12,2024-11-30,1601.1793309251757,Costela,Carnes
2024-10-14,prod_042,Farinha de Trigo,Alimentação,86,7.48,2024-11-30,1492.7891262132096,Açúcar,Alimentação
2024-08-19,prod_048,Condicionador,Higiene,30,24.66,2024-11-30,1505.1264611941092,Lasanha Congelada,Congelados
2024-08-09,prod_032,Água Mineral,Bebidas,24,11.12,2024-11-30,1530.6287463301446,Pão Francês,Padaria
2024-07-04,prod_040,Hambúrguer Congelado,Congelados,20,26.23,2024-11-30,1492.8087852485123,Café,Alimentação
2024-05-27,prod_016,Manteiga,Frios e Laticínios,3,10.68,2024-11-30,1602.8620517841862,Croissant,Padaria
2024-04-23,prod_036,Creme Dental,Higiene,66,32.87,2024-11-30,1667.2522033960106,Sabonete Líquido,Higiene
2024-10-17,prod_017,Amaciante,Limpeza,56,21.47,2024-11-30,1576.461218135125,Pão Integral,Padaria
2024-06-13,prod_004,Energético,Bebidas,55,39.46,2024-11-30,1454.1478280586434,Fósforo,Diversos
2024-09-21,prod_017,Amaciante,Limpeza,3,21.47,2024-11-30,1576.461218135125,Pão Integral,Padaria
2024-07-28,prod_022,Condicionador,Higiene,82,36.86,2024-11-30,1538.169528954254,Feijão,Alimentação
2024-10-03,prod_014,Pilhas,Diversos,31,27.52,2024-11-30,1366.6256205078312,Base,Cosméticos
2024-09-09,prod_032,Água Mineral,Bebidas,45,11.12,2024-11-30,1530.6287463301446,Pão Francês,Padaria
2024-07-11,prod_019,Papel Filme,Diversos,35,30.87,2024-11-30,1489.0666020246524,Esmalte,Cosméticos
2024-07-29,prod_031,Requeijão,Frios e Laticínios,33,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-07-12,prod_025,Picanha,Carnes,28,28.87,2024-11-30,1619.4968051646013,Filé de Peito de Frango,Carnes
2024-08-17,prod_045,Biscoito,Padaria,8,23.74,2024-11-30,1569.600782792661,Desinfetante,Limpeza
2024-09-23,prod_045,Biscoito,Padaria,72,23.74,2024-11-30,1569.600782792661,Desinfetante,Limpeza
2024-07-07,prod_046,Peixe Congelado,Congelados,64,14.54,2024-11-30,1351.3873691568078,Loção Hidratante,Cosméticos
2024-07-31,prod_045,Biscoito,Padaria,45,23.74,2024-11-30,1569.600782792661,Desinfetante,Limpeza
2024-06-28,prod_043,Creme Dental,Higiene,32,41.05,2024-11-30,1336.4224609079429,Condicionador,Higiene
2024-10-07,prod_005,Multiuso,Limpeza,59,30.45,2024-11-30,2742.6184495315906,Multiuso,Limpeza
2024-06-15,prod_027,Hambúrguer Congelado,Congelados,89,42.77,2024-11-30,1325.1091744191249,Fio Dental,Higiene
2024-09-18,prod_028,Azeite de Oliva,Alimentação,52,6.99,2024-11-30,1497.0754394272983,Linguiça,Carnes
2024-05-31,prod_025,Picanha,Carnes,94,28.87,2024-11-30,1619.4968051646013,Filé de Peito de Frango,Carnes
2024-08-11,prod_030,Perfume,Cosméticos,58,36.85,2024-11-30,1486.212670359204,Vinho Tinto,Bebidas
2024-05-22,prod_036,Creme Dental,Higiene,16,32.87,2024-11-30,1667.2522033960106,Sabonete Líquido,Higiene
2024-09-18,prod_020,Farinha de Trigo,Alimentação,45,5.56,2024-11-30,1491.4639314415322,Sorvete,Congelados
2024-07-03,prod_041,Amaciante,Limpeza,57,27.1,2024-11-30,1591.5433289430614,Fósforo,Diversos
2024-05-01,prod_041,Amaciante,Limpeza,17,27.1,2024-11-30,1591.5433289430614,Fósforo,Diversos
2024-10-01,prod_002,Desodorante,Higiene,10,10.5,2024-11-30,1559.326432389065,Desinfetante,Limpeza
2024-05-24,prod_021,Condicionador,Higiene,75,31.54,2024-11-30,1383.926075406138,Hambúrguer Congelado,Congelados
2024-05-23,prod_023,Fósforo,Diversos,29,6.76,2024-11-30,1558.8512950877998,Desinfetante,Limpeza
2024-08-05,prod_032,Água Mineral,Bebidas,71,11.12,2024-11-30,1530.6287463301446,Pão Francês,Padaria
2024-09-14,prod_025,Picanha,Carnes,23,28.87,2024-11-30,1619.4968051646013,Filé de Peito de Frango,Carnes
2024-08-16,prod_042,Farinha de Trigo,Alimentação,24,7.48,2024-11-30,1492.7891262132096,Açúcar,Alimentação
2024-08-16,prod_017,Amaciante,Limpeza,2,21.47,2024-11-30,1576.461218135125,Pão Integral,Padaria
2024-10-04,prod_031,Requeijão,Frios e Laticínios,64,40.28,2024-11-30,1551.2663254767594,Biscoito,Padaria
2024-09-07,prod_015,Detergente,Limpeza,78,38.8,2024-11-30,1430.942761855685,Manteiga,Frios e Laticínios
2024-09-02,prod_028,Azeite de Oliva,Alimentação,9,6.99,2024-11-30,1497.0754394272983,Linguiça,Carnes
2024-10-10,prod_018,Presunto,Frios e Laticínios,64,47.02,2024-11-30,1466.0407218898556,Macarrão,Alimentação
2024-10-01,prod_005,Multiuso,Limpeza,39,30.45,2024-11-30,2742.6184495315906,Multiuso,Limpeza
2024-09-12,prod_021,Condicionador,Higiene,2,31.54,2024-11-30,1383.926075406138,Hambúrguer Congelado,Congelados
