data,produto_id,nome_produto,categoria,quantidade_vendida,preco_unitario
2023-10-31,prod_001,Vinho Tinto,Bebidas,497,49.05
2023-11-30,prod_001,Vinho Tinto,Bebidas,89,49.05
2023-12-31,prod_001,Vinho Tinto,Bebidas,492,49.05
2024-01-31,prod_001,Vinho Tinto,Bebidas,471,49.05
2024-02-29,prod_001,Vinho Tinto,Bebidas,450,49.05
2024-03-31,prod_001,Vinho Tinto,Bebidas,182,49.05
2024-04-30,prod_001,Vinho Tinto,Bebidas,289,49.05
2024-05-31,prod_001,Vinho Tinto,Bebidas,155,49.05
2024-06-30,prod_001,Vinho Tinto,Bebidas,204,49.05
2024-07-31,prod_001,Vinho Tinto,Bebidas,88,49.05
2024-08-31,prod_001,Vinho Tinto,Bebidas,435,49.05
2024-09-30,prod_001,Vinho Tinto,Bebidas,124,49.05
2023-10-31,prod_002,Removedor de Maquiagem,Cosméticos,422,30.61
2023-11-30,prod_002,Removedor de Maquiagem,Cosméticos,256,30.61
2023-12-31,prod_002,Removedor de Maquiagem,Cosméticos,65,30.61
2024-01-31,prod_002,Removedor de Maquiagem,Cosméticos,233,30.61
2024-02-29,prod_002,Removedor de Maquiagem,Cosméticos,294,30.61
2024-03-31,prod_002,Removedor de Maquiagem,Cosméticos,102,30.61
2024-04-30,prod_002,Removedor de Maquiagem,Cosméticos,126,30.61
2024-05-31,prod_002,Removedor de Maquiagem,Cosméticos,218,30.61
2024-06-30,prod_002,Removedor de Maquiagem,Cosméticos,377,30.61
2024-07-31,prod_002,Removedor de Maquiagem,Cosméticos,163,30.61
2024-08-31,prod_002,Removedor de Maquiagem,Cosméticos,108,30.61
2024-09-30,prod_002,Removedor de Maquiagem,Cosméticos,415,30.61
2023-10-31,prod_003,Pão Francês,Padaria,468,41.68
2023-11-30,prod_003,Pão Francês,Padaria,365,41.68
2023-12-31,prod_003,Pão Francês,Padaria,481,41.68
2024-01-31,prod_003,Pão Francês,Padaria,254,41.68
2024-02-29,prod_003,Pão Francês,Padaria,54,41.68
2024-03-31,prod_003,Pão Francês,Padaria,467,41.68
2024-04-30,prod_003,Pão Francês,Padaria,425,41.68
2024-05-31,prod_003,Pão Francês,Padaria,230,41.68
2024-06-30,prod_003,Pão Francês,Padaria,74,41.68
2024-07-31,prod_003,Pão Francês,Padaria,249,41.68
2024-08-31,prod_003,Pão Francês,Padaria,117,41.68
2024-09-30,prod_003,Pão Francês,Padaria,477,41.68
2023-10-31,prod_004,Bife de Alcatra,Carnes,107,44.57
2023-11-30,prod_004,Bife de Alcatra,Carnes,98,44.57
2023-12-31,prod_004,Bife de Alcatra,Carnes,204,44.57
2024-01-31,prod_004,Bife de Alcatra,Carnes,462,44.57
2024-02-29,prod_004,Bife de Alcatra,Carnes,110,44.57
2024-03-31,prod_004,Bife de Alcatra,Carnes,397,44.57
2024-04-30,prod_004,Bife de Alcatra,Carnes,354,44.57
2024-05-31,prod_004,Bife de Alcatra,Carnes,395,44.57
2024-06-30,prod_004,Bife de Alcatra,Carnes,291,44.57
2024-07-31,prod_004,Bife de Alcatra,Carnes,225,44.57
2024-08-31,prod_004,Bife de Alcatra,Carnes,60,44.57
2024-09-30,prod_004,Bife de Alcatra,Carnes,52,44.57
