data,produto_id,nome_produto,categoria,quantidade_vendida,preco_unitario
2024-06-24,prod_026,Nuggets,Congelados,30,10.42
2024-10-18,prod_021,Carvão para Churrasco,Diversos,38,5.64
2024-10-12,prod_025,Peixe Congelado,Congelados,39,48.54
2024-05-22,prod_025,Peixe Congelado,Congelados,43,48.54
2024-05-07,prod_016,Croissant,Padaria,70,37.36
2024-10-06,prod_035,Esmalte,Cosméticos,13,45.96
2024-09-09,prod_029,Pão de Forma,Padaria,43,11.52
2024-09-05,prod_017,Esponja de Aço,Limpeza,83,14.38
2024-06-14,prod_009,Suco de Laranja,Bebidas,65,33.15
2024-08-01,prod_006,Batata Frita Congelada,Congelados,7,45.94
2024-07-18,prod_047,Pão Francês,Padaria,95,17.71
2024-05-02,prod_018,Leite Integral,Frios e Laticínios,86,28.75
2024-09-13,prod_003,Bife de Alcatra,Carnes,73,38.02
2024-08-15,prod_044,Manteiga,Frios e Laticínios,9,39.71
2024-06-30,prod_038,Pizza Congelada,Congelados,11,37.38
2024-09-26,prod_035,Esmalte,Cosméticos,92,45.96
2024-06-29,prod_008,Carne Moída,Carnes,46,39.03
2024-08-21,prod_047,Pão Francês,Padaria,54,17.71
2024-08-15,prod_016,Croissant,Padaria,11,37.36
2024-10-05,prod_045,Requeijão,Frios e Laticínios,33,34.06
2024-08-01,prod_019,Hambúrguer Congelado,Congelados,55,46.57
2024-07-17,prod_036,Pão Integral,Padaria,45,11.68
2024-10-14,prod_021,Carvão para Churrasco,Diversos,52,5.64
2024-07-18,prod_041,Fósforo,Diversos,91,36.86
2024-10-11,prod_050,Esponja de Aço,Limpeza,98,30.0
2024-05-30,prod_034,Guardanapos,Diversos,65,7.56
2024-08-25,prod_017,Esponja de Aço,Limpeza,58,14.38
2024-06-27,prod_016,Croissant,Padaria,77,37.36
2024-10-11,prod_011,Peixe Congelado,Congelados,90,24.04
2024-06-29,prod_033,Sabão em Pó,Limpeza,14,13.43
2024-09-18,prod_032,Requeijão,Frios e Laticínios,47,8.51
2024-06-04,prod_044,Manteiga,Frios e Laticínios,89,39.71
2024-05-24,prod_046,Amaciante,Limpeza,4,36.75
2024-08-24,prod_020,Limpa Vidros,Limpeza,22,10.48
2024-06-03,prod_034,Guardanapos,Diversos,94,7.56
2024-06-05,prod_045,Requeijão,Frios e Laticínios,19,34.06
2024-09-21,prod_024,Amaciante,Limpeza,74,14.44
2024-09-18,prod_010,Iogurte,Frios e Laticínios,19,16.1
2024-08-26,prod_011,Peixe Congelado,Congelados,48,24.04
2024-08-24,prod_021,Carvão para Churrasco,Diversos,50,5.64
2024-08-18,prod_020,Limpa Vidros,Limpeza,65,10.48
2024-09-19,prod_035,Esmalte,Cosméticos,85,45.96
2024-10-09,prod_033,Sabão em Pó,Limpeza,31,13.43
2024-07-27,prod_039,Suco de Laranja,Bebidas,24,47.16
2024-05-01,prod_036,Pão Integral,Padaria,60,11.68
2024-08-15,prod_016,Croissant,Padaria,10,37.36
2024-08-03,prod_027,Leite Integral,Frios e Laticínios,89,22.96
2024-08-06,prod_010,Iogurte,Frios e Laticínios,38,16.1
2024-09-15,prod_046,Amaciante,Limpeza,66,36.75
2024-05-28,prod_036,Pão Integral,Padaria,11,11.68
2024-05-14,prod_006,Batata Frita Congelada,Congelados,29,45.94
2024-07-07,prod_011,Peixe Congelado,Congelados,96,24.04
2024-07-01,prod_017,Esponja de Aço,Limpeza,88,14.38
2024-05-19,prod_004,Requeijão,Frios e Laticínios,9,14.14
2024-06-01,prod_005,Multiuso,Limpeza,7,29.72
2024-07-25,prod_045,Requeijão,Frios e Laticínios,87,34.06
2024-08-16,prod_044,Manteiga,Frios e Laticínios,28,39.71
2024-07-03,prod_043,Farinha de Trigo,Alimentação,42,11.56
2024-06-17,prod_022,Filé de Peito de Frango,Carnes,95,36.71
2024-07-28,prod_050,Esponja de Aço,Limpeza,89,30.0
2024-06-02,prod_015,Pão de Forma,Padaria,83,42.57
2024-10-19,prod_020,Limpa Vidros,Limpeza,51,10.48
2024-08-07,prod_014,Protetor Solar,Cosméticos,90,12.84
2024-07-14,prod_007,Condicionador,Higiene,28,13.53
2024-07-08,prod_038,Pizza Congelada,Congelados,32,37.38
2024-09-02,prod_041,Fósforo,Diversos,36,36.86
2024-06-15,prod_031,Condicionador,Higiene,85,8.94
2024-10-06,prod_038,Pizza Congelada,Congelados,90,37.38
2024-09-02,prod_041,Fósforo,Diversos,62,36.86
2024-08-11,prod_043,Farinha de Trigo,Alimentação,59,11.56
2024-07-19,prod_001,Bolo de Chocolate,Padaria,9,9.56
2024-08-25,prod_018,Leite Integral,Frios e Laticínios,37,28.75
2024-04-29,prod_026,Nuggets,Congelados,17,10.42
2024-10-19,prod_007,Condicionador,Higiene,18,13.53
2024-09-08,prod_015,Pão de Forma,Padaria,36,42.57
2024-05-08,prod_047,Pão Francês,Padaria,12,17.71
2024-09-18,prod_049,Loção Hidratante,Cosméticos,85,18.19
